type,old_url,old_path,new_path,action,lastmod,implementation_status,notes
"pages","https://www.mirasisone.com/blog","/blog","/blog","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/company","/company","/company","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/privacy-policy","/privacy-policy","/privacy-policy","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com","/","/","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/recruit","/recruit","/recruit","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/works","/works","/works","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/home","/home","/","301","2026-06-06","pending",""
"blog-post","https://www.mirasisone.com/post/店舗内プロジェクションマッピングとは？導入メリットと成功事例を紹介","/post/%E5%BA%97%E8%88%97%E5%86%85%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E5%B0%8E%E5%85%A5%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88%E3%81%A8%E6%88%90%E5%8A%9F%E4%BA%8B%E4%BE%8B%E3%82%92%E7%B4%B9%E4%BB%8B","/post/%E5%BA%97%E8%88%97%E5%86%85%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E5%B0%8E%E5%85%A5%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88%E3%81%A8%E6%88%90%E5%8A%9F%E4%BA%8B%E4%BE%8B%E3%82%92%E7%B4%B9%E4%BB%8B","keep-200","2025-10-20","pending",""
"blog-post","https://www.mirasisone.com/post/【nft鳴門美術館】日本発の画期的な技法とバーチャル映像が融合！mirasisoneが地域活性化を目指す特別展「アール・グラージュ特別展示会」でマッピングを披露しました","/post/%E3%80%90nft%E9%B3%B4%E9%96%80%E7%BE%8E%E8%A1%93%E9%A4%A8%E3%80%91%E6%97%A5%E6%9C%AC%E7%99%BA%E3%81%AE%E7%94%BB%E6%9C%9F%E7%9A%84%E3%81%AA%E6%8A%80%E6%B3%95%E3%81%A8%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%AB%E6%98%A0%E5%83%8F%E3%81%8C%E8%9E%8D%E5%90%88%EF%BC%81mirasisone%E3%81%8C%E5%9C%B0%E5%9F%9F%E6%B4%BB%E6%80%A7%E5%8C%96%E3%82%92%E7%9B%AE%E6%8C%87%E3%81%99%E7%89%B9%E5%88%A5%E5%B1%95%E3%80%8C%E3%82%A2%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A5%E7%89%B9%E5%88%A5%E5%B1%95%E7%A4%BA%E4%BC%9A%E3%80%8D%E3%81%A7%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%92%E6%8A%AB%E9%9C%B2%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F","/post/%E3%80%90nft%E9%B3%B4%E9%96%80%E7%BE%8E%E8%A1%93%E9%A4%A8%E3%80%91%E6%97%A5%E6%9C%AC%E7%99%BA%E3%81%AE%E7%94%BB%E6%9C%9F%E7%9A%84%E3%81%AA%E6%8A%80%E6%B3%95%E3%81%A8%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%AB%E6%98%A0%E5%83%8F%E3%81%8C%E8%9E%8D%E5%90%88%EF%BC%81mirasisone%E3%81%8C%E5%9C%B0%E5%9F%9F%E6%B4%BB%E6%80%A7%E5%8C%96%E3%82%92%E7%9B%AE%E6%8C%87%E3%81%99%E7%89%B9%E5%88%A5%E5%B1%95%E3%80%8C%E3%82%A2%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A5%E7%89%B9%E5%88%A5%E5%B1%95%E7%A4%BA%E4%BC%9A%E3%80%8D%E3%81%A7%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%92%E6%8A%AB%E9%9C%B2%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F","keep-200","2024-08-28","pending",""
"blog-post","https://www.mirasisone.com/post/焼肉レストランにプロジェクションマッピング導入！一日一組限定の個室が非現実空間に変化","/post/%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E5%B0%8E%E5%85%A5%EF%BC%81%E4%B8%80%E6%97%A5%E4%B8%80%E7%B5%84%E9%99%90%E5%AE%9A%E3%81%AE%E5%80%8B%E5%AE%A4%E3%81%8C%E9%9D%9E%E7%8F%BE%E5%AE%9F%E7%A9%BA%E9%96%93%E3%81%AB%E5%A4%89%E5%8C%96","/post/%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E5%B0%8E%E5%85%A5%EF%BC%81%E4%B8%80%E6%97%A5%E4%B8%80%E7%B5%84%E9%99%90%E5%AE%9A%E3%81%AE%E5%80%8B%E5%AE%A4%E3%81%8C%E9%9D%9E%E7%8F%BE%E5%AE%9F%E7%A9%BA%E9%96%93%E3%81%AB%E5%A4%89%E5%8C%96","keep-200","2025-08-30","pending",""
"blog-post","https://www.mirasisone.com/post/新宿シーシャバー-幻想的映像でアップグレード。プロジェクションマッピングが創る-体験空間","/post/%E6%96%B0%E5%AE%BF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%90%E3%83%BC-%E5%B9%BB%E6%83%B3%E7%9A%84%E6%98%A0%E5%83%8F%E3%81%A7%E3%82%A2%E3%83%83%E3%83%97%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%89%E3%80%82%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%8C%E5%89%B5%E3%82%8B-%E4%BD%93%E9%A8%93%E7%A9%BA%E9%96%93","/post/%E6%96%B0%E5%AE%BF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%90%E3%83%BC-%E5%B9%BB%E6%83%B3%E7%9A%84%E6%98%A0%E5%83%8F%E3%81%A7%E3%82%A2%E3%83%83%E3%83%97%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%89%E3%80%82%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%8C%E5%89%B5%E3%82%8B-%E4%BD%93%E9%A8%93%E7%A9%BA%E9%96%93","keep-200","2025-07-31","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-seisaku-cost","/post/projection-mapping-seisaku-cost","/post/projection-mapping-seisaku-cost","keep-200","2026-05-07","pending",""
"blog-post","https://www.mirasisone.com/post/sauna-japon-projection-mapping","/post/sauna-japon-projection-mapping","/post/sauna-japon-projection-mapping","keep-200","2025-12-15","pending",""
"blog-post","https://www.mirasisone.com/post/【映像あり】-空間が動き出す瞬間-プロジェクションマッピングで創る新しい体験","/post/%E3%80%90%E6%98%A0%E5%83%8F%E3%81%82%E3%82%8A%E3%80%91-%E7%A9%BA%E9%96%93%E3%81%8C%E5%8B%95%E3%81%8D%E5%87%BA%E3%81%99%E7%9E%AC%E9%96%93-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A7%E5%89%B5%E3%82%8B%E6%96%B0%E3%81%97%E3%81%84%E4%BD%93%E9%A8%93","/post/%E3%80%90%E6%98%A0%E5%83%8F%E3%81%82%E3%82%8A%E3%80%91-%E7%A9%BA%E9%96%93%E3%81%8C%E5%8B%95%E3%81%8D%E5%87%BA%E3%81%99%E7%9E%AC%E9%96%93-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A7%E5%89%B5%E3%82%8B%E6%96%B0%E3%81%97%E3%81%84%E4%BD%93%E9%A8%93","keep-200","2025-09-04","pending",""
"blog-post","https://www.mirasisone.com/post/美しさ-を可視化する-美容業界-映像制作の新提案。3dcgで広がる表現の可能性","/post/%E7%BE%8E%E3%81%97%E3%81%95-%E3%82%92%E5%8F%AF%E8%A6%96%E5%8C%96%E3%81%99%E3%82%8B-%E7%BE%8E%E5%AE%B9%E6%A5%AD%E7%95%8C-%E6%98%A0%E5%83%8F%E5%88%B6%E4%BD%9C%E3%81%AE%E6%96%B0%E6%8F%90%E6%A1%88%E3%80%823dcg%E3%81%A7%E5%BA%83%E3%81%8C%E3%82%8B%E8%A1%A8%E7%8F%BE%E3%81%AE%E5%8F%AF%E8%83%BD%E6%80%A7","/post/%E7%BE%8E%E3%81%97%E3%81%95-%E3%82%92%E5%8F%AF%E8%A6%96%E5%8C%96%E3%81%99%E3%82%8B-%E7%BE%8E%E5%AE%B9%E6%A5%AD%E7%95%8C-%E6%98%A0%E5%83%8F%E5%88%B6%E4%BD%9C%E3%81%AE%E6%96%B0%E6%8F%90%E6%A1%88%E3%80%823dcg%E3%81%A7%E5%BA%83%E3%81%8C%E3%82%8B%E8%A1%A8%E7%8F%BE%E3%81%AE%E5%8F%AF%E8%83%BD%E6%80%A7","keep-200","2025-05-15","pending",""
"blog-post","https://www.mirasisone.com/post/3dcg-video-production-guide","/post/3dcg-video-production-guide","/post/3dcg-video-production-guide","keep-200","2026-07-13","pending",""
"blog-post","https://www.mirasisone.com/post/マッピングとは？プロジェクションマッピングの仕組みを初心者向けに解説","/post/%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%AE%E4%BB%95%E7%B5%84%E3%81%BF%E3%82%92%E5%88%9D%E5%BF%83%E8%80%85%E5%90%91%E3%81%91%E3%81%AB%E8%A7%A3%E8%AA%AC","/post/%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%AE%E4%BB%95%E7%B5%84%E3%81%BF%E3%82%92%E5%88%9D%E5%BF%83%E8%80%85%E5%90%91%E3%81%91%E3%81%AB%E8%A7%A3%E8%AA%AC","keep-200","2026-07-30","pending",""
"blog-post","https://www.mirasisone.com/post/restaurant-projection-mapping-failure-guide","/post/restaurant-projection-mapping-failure-guide","/post/restaurant-projection-mapping-failure-guide","keep-200","2026-03-23","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-tokyo","/post/projection-mapping-tokyo","/post/projection-mapping-tokyo","keep-200","2026-05-11","pending",""
"blog-post","https://www.mirasisone.com/post/昼と夜で変わる、幻想の枯山水。京都パビリオン-プロジェクションマッピング体験","/post/%E6%98%BC%E3%81%A8%E5%A4%9C%E3%81%A7%E5%A4%89%E3%82%8F%E3%82%8B%E3%80%81%E5%B9%BB%E6%83%B3%E3%81%AE%E6%9E%AF%E5%B1%B1%E6%B0%B4%E3%80%82%E4%BA%AC%E9%83%BD%E3%83%91%E3%83%93%E3%83%AA%E3%82%AA%E3%83%B3-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E4%BD%93%E9%A8%93","/post/%E6%98%BC%E3%81%A8%E5%A4%9C%E3%81%A7%E5%A4%89%E3%82%8F%E3%82%8B%E3%80%81%E5%B9%BB%E6%83%B3%E3%81%AE%E6%9E%AF%E5%B1%B1%E6%B0%B4%E3%80%82%E4%BA%AC%E9%83%BD%E3%83%91%E3%83%93%E3%83%AA%E3%82%AA%E3%83%B3-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E4%BD%93%E9%A8%93","keep-200","2025-04-17","pending",""
"blog-post","https://www.mirasisone.com/post/【9月1日まで開催】すみだ水族館の夏イベント「cool-coool-cooool-」でプロジェクションマッピングを披露しました","/post/%E3%80%909%E6%9C%881%E6%97%A5%E3%81%BE%E3%81%A7%E9%96%8B%E5%82%AC%E3%80%91%E3%81%99%E3%81%BF%E3%81%A0%E6%B0%B4%E6%97%8F%E9%A4%A8%E3%81%AE%E5%A4%8F%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E3%80%8Ccool-coool-cooool-%E3%80%8D%E3%81%A7%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%92%E6%8A%AB%E9%9C%B2%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F","/post/%E3%80%909%E6%9C%881%E6%97%A5%E3%81%BE%E3%81%A7%E9%96%8B%E5%82%AC%E3%80%91%E3%81%99%E3%81%BF%E3%81%A0%E6%B0%B4%E6%97%8F%E9%A4%A8%E3%81%AE%E5%A4%8F%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E3%80%8Ccool-coool-cooool-%E3%80%8D%E3%81%A7%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%92%E6%8A%AB%E9%9C%B2%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F","keep-200","2025-07-15","pending",""
"blog-post","https://www.mirasisone.com/post/ai-human-creativity-film","/post/ai-human-creativity-film","/post/ai-human-creativity-film","keep-200","2025-12-01","pending",""
"blog-post","https://www.mirasisone.com/post/お洒落焼肉レストランの新常識。集客を生むプロジェクションマッピング演出","/post/%E3%81%8A%E6%B4%92%E8%90%BD%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%AE%E6%96%B0%E5%B8%B8%E8%AD%98%E3%80%82%E9%9B%86%E5%AE%A2%E3%82%92%E7%94%9F%E3%82%80%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E6%BC%94%E5%87%BA","/post/%E3%81%8A%E6%B4%92%E8%90%BD%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%AE%E6%96%B0%E5%B8%B8%E8%AD%98%E3%80%82%E9%9B%86%E5%AE%A2%E3%82%92%E7%94%9F%E3%82%80%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E6%BC%94%E5%87%BA","keep-200","2025-09-06","pending",""
"blog-post","https://www.mirasisone.com/post/飲食店から広告まで。プロジェクションマッピング、空間演出の可能性","/post/%E9%A3%B2%E9%A3%9F%E5%BA%97%E3%81%8B%E3%82%89%E5%BA%83%E5%91%8A%E3%81%BE%E3%81%A7%E3%80%82%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%80%81%E7%A9%BA%E9%96%93%E6%BC%94%E5%87%BA%E3%81%AE%E5%8F%AF%E8%83%BD%E6%80%A7","/post/%E9%A3%B2%E9%A3%9F%E5%BA%97%E3%81%8B%E3%82%89%E5%BA%83%E5%91%8A%E3%81%BE%E3%81%A7%E3%80%82%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%80%81%E7%A9%BA%E9%96%93%E6%BC%94%E5%87%BA%E3%81%AE%E5%8F%AF%E8%83%BD%E6%80%A7","keep-200","2025-10-16","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-guide-2026","/post/projection-mapping-guide-2026","/post/projection-mapping-guide-2026","keep-200","2026-03-18","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-tokyo-guide","/post/projection-mapping-tokyo-guide","/post/projection-mapping-tokyo-guide","keep-200","2026-06-08","pending",""
"blog-post","https://www.mirasisone.com/post/プロジェクションマッピングとは？初心者にもわかりやすく解説-仕組み・費用・活用事","/post/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E5%88%9D%E5%BF%83%E8%80%85%E3%81%AB%E3%82%82%E3%82%8F%E3%81%8B%E3%82%8A%E3%82%84%E3%81%99%E3%81%8F%E8%A7%A3%E8%AA%AC-%E4%BB%95%E7%B5%84%E3%81%BF%E3%83%BB%E8%B2%BB%E7%94%A8%E3%83%BB%E6%B4%BB%E7%94%A8%E4%BA%8B","/post/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E5%88%9D%E5%BF%83%E8%80%85%E3%81%AB%E3%82%82%E3%82%8F%E3%81%8B%E3%82%8A%E3%82%84%E3%81%99%E3%81%8F%E8%A7%A3%E8%AA%AC-%E4%BB%95%E7%B5%84%E3%81%BF%E3%83%BB%E8%B2%BB%E7%94%A8%E3%83%BB%E6%B4%BB%E7%94%A8%E4%BA%8B","keep-200","2025-08-09","pending",""
"blog-post","https://www.mirasisone.com/post/creator-recruit","/post/creator-recruit","/post/creator-recruit","keep-200","2026-02-04","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-seisaku-guide-1","/post/projection-mapping-seisaku-guide-1","/post/projection-mapping-seisaku-guide-1","keep-200","2026-06-19","pending",""
"blog-post","https://www.mirasisone.com/post/動くモノにも映像を。3dcgプロモで挑戦した新たな表現","/post/%E5%8B%95%E3%81%8F%E3%83%A2%E3%83%8E%E3%81%AB%E3%82%82%E6%98%A0%E5%83%8F%E3%82%92%E3%80%823dcg%E3%83%97%E3%83%AD%E3%83%A2%E3%81%A7%E6%8C%91%E6%88%A6%E3%81%97%E3%81%9F%E6%96%B0%E3%81%9F%E3%81%AA%E8%A1%A8%E7%8F%BE","/post/%E5%8B%95%E3%81%8F%E3%83%A2%E3%83%8E%E3%81%AB%E3%82%82%E6%98%A0%E5%83%8F%E3%82%92%E3%80%823dcg%E3%83%97%E3%83%AD%E3%83%A2%E3%81%A7%E6%8C%91%E6%88%A6%E3%81%97%E3%81%9F%E6%96%B0%E3%81%9F%E3%81%AA%E8%A1%A8%E7%8F%BE","keep-200","2025-05-08","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-trend-2026-05","/post/projection-mapping-trend-2026-05","/post/projection-mapping-trend-2026-05","keep-200","2026-05-21","pending",""
"blog-post","https://www.mirasisone.com/post/プロジェクションマッピングの導入事例と多業種での活用法-サウナ・水族館・美術展からホテルまで","/post/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%AE%E5%B0%8E%E5%85%A5%E4%BA%8B%E4%BE%8B%E3%81%A8%E5%A4%9A%E6%A5%AD%E7%A8%AE%E3%81%A7%E3%81%AE%E6%B4%BB%E7%94%A8%E6%B3%95-%E3%82%B5%E3%82%A6%E3%83%8A%E3%83%BB%E6%B0%B4%E6%97%8F%E9%A4%A8%E3%83%BB%E7%BE%8E%E8%A1%93%E5%B1%95%E3%81%8B%E3%82%89%E3%83%9B%E3%83%86%E3%83%AB%E3%81%BE%E3%81%A7","/post/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%AE%E5%B0%8E%E5%85%A5%E4%BA%8B%E4%BE%8B%E3%81%A8%E5%A4%9A%E6%A5%AD%E7%A8%AE%E3%81%A7%E3%81%AE%E6%B4%BB%E7%94%A8%E6%B3%95-%E3%82%B5%E3%82%A6%E3%83%8A%E3%83%BB%E6%B0%B4%E6%97%8F%E9%A4%A8%E3%83%BB%E7%BE%8E%E8%A1%93%E5%B1%95%E3%81%8B%E3%82%89%E3%83%9B%E3%83%86%E3%83%AB%E3%81%BE%E3%81%A7","keep-200","2025-09-15","pending",""
"blog-post","https://www.mirasisone.com/post/【10-1-火-open！】スナックの奥に佇む異世界空間の完全予約制のプライベートサウナ「サウナ-スナック-かなこ」が品川・青物横丁にオープン！","/post/%E3%80%9010-1-%E7%81%AB-open%EF%BC%81%E3%80%91%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF%E3%81%AE%E5%A5%A5%E3%81%AB%E4%BD%87%E3%82%80%E7%95%B0%E4%B8%96%E7%95%8C%E7%A9%BA%E9%96%93%E3%81%AE%E5%AE%8C%E5%85%A8%E4%BA%88%E7%B4%84%E5%88%B6%E3%81%AE%E3%83%97%E3%83%A9%E3%82%A4%E3%83%99%E3%83%BC%E3%83%88%E3%82%B5%E3%82%A6%E3%83%8A%E3%80%8C%E3%82%B5%E3%82%A6%E3%83%8A-%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF-%E3%81%8B%E3%81%AA%E3%81%93%E3%80%8D%E3%81%8C%E5%93%81%E5%B7%9D%E3%83%BB%E9%9D%92%E7%89%A9%E6%A8%AA%E4%B8%81%E3%81%AB%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%EF%BC%81","/post/%E3%80%9010-1-%E7%81%AB-open%EF%BC%81%E3%80%91%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF%E3%81%AE%E5%A5%A5%E3%81%AB%E4%BD%87%E3%82%80%E7%95%B0%E4%B8%96%E7%95%8C%E7%A9%BA%E9%96%93%E3%81%AE%E5%AE%8C%E5%85%A8%E4%BA%88%E7%B4%84%E5%88%B6%E3%81%AE%E3%83%97%E3%83%A9%E3%82%A4%E3%83%99%E3%83%BC%E3%83%88%E3%82%B5%E3%82%A6%E3%83%8A%E3%80%8C%E3%82%B5%E3%82%A6%E3%83%8A-%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF-%E3%81%8B%E3%81%AA%E3%81%93%E3%80%8D%E3%81%8C%E5%93%81%E5%B7%9D%E3%83%BB%E9%9D%92%E7%89%A9%E6%A8%AA%E4%B8%81%E3%81%AB%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%EF%BC%81","keep-200","2024-09-30","pending",""
"blog-post","https://www.mirasisone.com/post/店内の演出に-映像-という新しい選択肢-―-プロジェクションマッピング導入事例-赤坂レストラン","/post/%E5%BA%97%E5%86%85%E3%81%AE%E6%BC%94%E5%87%BA%E3%81%AB-%E6%98%A0%E5%83%8F-%E3%81%A8%E3%81%84%E3%81%86%E6%96%B0%E3%81%97%E3%81%84%E9%81%B8%E6%8A%9E%E8%82%A2-%E2%80%95-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E5%B0%8E%E5%85%A5%E4%BA%8B%E4%BE%8B-%E8%B5%A4%E5%9D%82%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3","/post/%E5%BA%97%E5%86%85%E3%81%AE%E6%BC%94%E5%87%BA%E3%81%AB-%E6%98%A0%E5%83%8F-%E3%81%A8%E3%81%84%E3%81%86%E6%96%B0%E3%81%97%E3%81%84%E9%81%B8%E6%8A%9E%E8%82%A2-%E2%80%95-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E5%B0%8E%E5%85%A5%E4%BA%8B%E4%BE%8B-%E8%B5%A4%E5%9D%82%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3","keep-200","2025-06-05","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-cost-guide","/post/projection-mapping-cost-guide","/post/projection-mapping-cost-guide","keep-200","2026-07-24","pending",""
"blog-post","https://www.mirasisone.com/post/ar-content-production-guide","/post/ar-content-production-guide","/post/ar-content-production-guide","keep-200","2026-07-27","pending",""
"blog-post","https://www.mirasisone.com/post/outdoor-projection-mapping-guide-2026","/post/outdoor-projection-mapping-guide-2026","/post/outdoor-projection-mapping-guide-2026","keep-200","2026-07-07","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-use-cases","/post/projection-mapping-use-cases","/post/projection-mapping-use-cases","keep-200","2026-03-23","pending",""
